Ward_ID,Total_Population,Area_Sqm_Km,Population_Density_Per_SqKm,CCTV_Count,CCTV_Density_Per_SqKm,Streetlight_Count,Streetlight_Density_Per_SqKm,Bus_Stop_Count,Bus_Stop_Density,POI_Count,POI_Density,Traffic Volume,Pedestrian and Cyclist Count,Metro_Prox_Count,Safety_Score_V2,Norm_Total_Population,Norm_Area_Sqm_Km,Norm_Population_Density_Per_SqKm,Norm_CCTV_Count,Norm_CCTV_Density_Per_SqKm,Norm_Streetlight_Count,Norm_Streetlight_Density_Per_SqKm,Norm_Bus_Stop_Count,Norm_Bus_Stop_Density,Norm_POI_Count,Norm_POI_Density,Norm_Traffic Volume,Norm_Pedestrian and Cyclist Count,Norm_Metro_Prox_Count,Norm_Safety_Score_V2
129,68132.0,0.5789655822239876,117678.84325400431,0.0,0.0,5476.0,9458.247896127044,3.0,5.181655165884063,0.0,0.0,0.0,0.0,0.0,0.422,0.6535344926282581,0.008720889217775425,0.9084860373190441,0.0,0.0,0.8050573360776242,1.0,0.125,0.23801558091961025,0.0,0.0,0.0,0.0,0.0,1.0
197,62057.0,0.5910809691875871,104989.00021310856,0.0,0.0,4605.0,7790.810802671172,5.0,8.459077961640794,0.0,0.0,0.0,0.0,0.0,0.3857,0.5762552314561575,0.009092615589150643,0.8097695863139248,0.0,0.0,0.677006762716848,0.8237054989710458,0.20833333333333334,0.38856162570221775,0.0,0.0,0.0,0.0,0.0,0.9137152365105776
153,38151.0,0.2947324589479899,129442.81785648975,0.0,0.0,1940.0,6582.2407444520495,4.0,13.57163040093206,0.0,0.0,0.0,0.0,0.0,0.4175,0.2721502079861597,0.0,1.0,0.0,0.0,0.28521023228462217,0.695926012591332,0.16666666666666666,0.6234030228742479,0.0,0.0,0.0,0.0,0.0,0.9893035417161873
72,62272.0,0.5455307389927045,114149.388016122,0.0,0.0,3561.0,6527.5881732626285,4.0,7.332309096616263,0.0,0.0,0.0,0.0,0.0,0.3552,0.5789902176540179,0.0076950356491518445,0.8810298037043077,0.0,0.0,0.5235224933842987,0.6901477149838228,0.16666666666666666,0.3368043131475937,0.0,0.0,0.0,0.0,0.0,0.841217019253625
154,32640.0,0.3281031710876929,99480.90380167717,0.0,0.0,2099.0,6397.377974256139,2.0,6.095643615298846,0.0,0.0,0.0,0.0,0.0,0.3261,0.2020455152586788,0.0010238858875220996,0.7669211659057116,0.0,0.0,0.308585710085269,0.6763808735522499,0.08333333333333333,0.2799989790379521,0.0,0.0,0.0,0.0,0.0,0.7720465890183028
159,40771.0,0.6430798704656797,63399.58980596935,0.0,0.0,4712.0,7327.239144630438,14.0,21.770235149581097,0.0,0.0,0.0,0.0,0.0,0.4166,0.3054788770019463,0.01068805475635829,0.4862384770986959,0.0,0.0,0.6927374301675978,0.7746930747745352,0.5833333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.9871642500594249
184,57209.0,0.8484376635748518,67428.64261701041,2.0,2.35727394700171,5158.0,6079.40950931741,10.0,11.78636973500855,0.0,0.0,0.0,0.0,0.0,0.3271,0.5145844729109158,0.016988877626931763,0.5175811653523166,0.012048192771084338,0.03804119651026055,0.7583063804763305,0.6427627586084735,0.4166666666666667,0.541398365889279,0.0,0.0,0.0,0.0,0.0,0.774423579748039
49,37955.0,2.678873462600853,14168.269061559336,166.0,61.96634604713081,1312.0,489.75810851708206,1.0,0.37329124124777596,2.0,0.7465824824955519,0.0,0.0,0.0,0.2633,0.269656918242994,0.0731506213377641,0.10325964540466655,1.0,1.0,0.19288444575124963,0.05178106070973545,0.041666666666666664,0.017146863076256614,0.25,0.3228074015951771,0.0,0.0,0.0,0.6227715711908723
71,66314.0,0.5320772266763949,124632.28395289253,0.0,0.0,1895.0,3561.513075530526,1.0,1.8794264250820718,0.0,0.0,0.0,0.0,0.0,0.2515,0.6304079581737925,0.0072822526872358025,0.9625780371851314,0.0,0.0,0.27859453102028814,0.3765510393303279,0.041666666666666664,0.08633009299939673,0.0,0.0,0.0,0.0,0.0,0.5947230805799857
130,58199.0,1.0470228750952777,55585.22300165024,12.0,11.461067647550696,4874.0,4655.103642846841,2.0,1.9101779412584492,0.0,0.0,0.0,0.0,0.0,0.237,0.5271781302871099,0.02308190299286166,0.42544918638102713,0.07228915662650602,0.1849563251451611,0.7165539547192002,0.4921739939543146,0.08333333333333333,0.08774264164506303,0.0,0.0,0.0,0.0,0.0,0.5602567149988116
